airline_sentiment,airline,retweet_count,text,tweet_created,lemma
0,4,0,@USAirways they had to turn the seat cushions over and clean the area. Please explain this issue?,2015-02-19 06:50:48 -0800,"['-PRON-', 'have', 'to', 'turn', 'the', 'seat', 'cushion', 'over', 'and', 'clean', 'the', 'area', 'please', 'explain', 'this', 'issue']"
0,3,0,@JetBlue flying to Denver March 1st and my flight itenary keeps getting changed what the heck...booked the trip 3 months ago,2015-02-21 08:42:15 -0800,"['fly', 'to', 'Denver', 'March', '1st', 'and', '-PRON-', 'flight', 'itenary', 'keep', 'get', 'change', 'what', 'the', 'heck', 'book', 'the', 'trip', '3', 'month', 'ago']"
0,2,0,@SouthwestAir I couldn't fly you today &amp; it made the trip harder + had to pay for my checked bag. #DevotedyYours but for today. :(,2015-02-18 06:07:38 -0800,"['-PRON-', 'could', 'not', 'fly', '-PRON-', 'today', 'amp', '-PRON-', 'make', 'the', 'trip', 'hard', '+', 'have', 'to', 'pay', 'for', '-PRON-', 'check', 'bag', 'DevotedyYours', 'but', 'for', 'today']"
0,0,0,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",2015-02-22 10:30:17 -0800,"['get', 'a', 'flight', '-PRON-', 'be', 'tell', 'for', '4:50', 'today', ',checked', '-PRON-', 'email', 'and', '-PRON-', 'for', '4;50', 'TOMORROW', 'this', 'be', 'unacceptable']"
0,5,1,@AmericanAir it's been 2 hrs of wait on the phone a) worst customer services b) trying to know where my suitcase Is and way MORE 😤#ANGRY,2015-02-22 20:21:50 -0800,"['-PRON-', 'be', 'be', '2', 'hrs', 'of', 'wait', 'on', 'the', 'phone', 'a', 'bad', 'customer', 'service', 'b', 'try', 'to', 'know', 'where', '-PRON-', 'suitcase', 'be', 'and', 'way', 'MORE', '😤', 'ANGRY']"
0,1,0,@united I am trying to make/change reservations and getting extremely frustrated!!! Giving up and trying another airline!!!,2015-02-23 07:28:20 -0800,"['-PRON-', 'be', 'try', 'to', 'make', 'change', 'reservation', 'and', 'get', 'extremely', 'frustrated', 'give', 'up', 'and', 'try', 'another', 'airline']"
0,2,0,@SouthwestAir I am genuinely surprised you all don't upgrade people when you Cancelled Flight their flights or at least put them in a comparable spot,2015-02-23 16:43:22 -0800,"['-PRON-', 'be', 'genuinely', 'surprised', '-PRON-', 'all', 'do', 'not', 'upgrade', 'people', 'when', '-PRON-', 'cancel', 'Flight', '-PRON-', 'flight', 'or', 'at', 'least', 'put', '-PRON-', 'in', 'a', 'comparable', 'spot']"
0,1,0,@united have been waiting 2 days for my military bags from an airport 3 hours away from me. Horrible.,2015-02-23 12:42:13 -0800,"['have', 'be', 'wait', '2', 'day', 'for', '-PRON-', 'military', 'bag', 'from', 'an', 'airport', '3', 'hour', 'away', 'from', '-PRON-', 'horrible']"
0,3,0,@JetBlue @amybruni @DIRECTTV No Oscars on Direct TV on this flight. We were so looking forward to it. We were devastated. :-/,2015-02-22 19:43:14 -0800,"['no', 'Oscars', 'on', 'direct', 'tv', 'on', 'this', 'flight', '-PRON-', 'be', 'so', 'look', 'forward', 'to', '-PRON-', '-PRON-', 'be', 'devastate']"
0,2,0,@SouthwestAir there's an hour wait here for reFlight Booking Problems in line at Omaha.,2015-02-20 17:33:55 -0800,"['there', 'be', 'an', 'hour', 'wait', 'here', 'for', 'reFlight', 'Booking', 'Problems', 'in', 'line', 'at', 'Omaha']"
0,5,0,@AmericanAir “Inconvenient” is such a convenient word.,2015-02-24 10:27:02 -0800,"['inconvenient', 'be', 'such', 'a', 'convenient', 'word']"
0,1,0,"@united what do you think missing meetings is worth?  A flight voucher?  I fly all the time, so what would make it right?",2015-02-18 09:29:29 -0800,"['what', 'do', '-PRON-', 'think', 'miss', 'meeting', 'be', 'worth', 'a', 'flight', 'voucher', '-PRON-', 'fly', 'all', 'the', 'time', 'so', 'what', 'would', 'make', '-PRON-', 'right']"
0,5,0,@AmericanAir 1hr 46 min. Cost of flight change $788. Was $188 2hrs ago b/f drop call. Cancelled Flighted flight. Asked 4 refund.,2015-02-24 11:36:22 -0800,"['1hr', '46', 'min', 'cost', 'of', 'flight', 'change', '$', '788', 'be', '$', '188', '2hrs', 'ago', 'b', 'f', 'drop', 'call', 'cancel', 'Flighted', 'flight', 'ask', '4', 'refund']"
