tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,isnegative,ispositive
569024126641311744,0,1.0,Lost Luggage,1.0,1,,gehandabare,,0,@united - after having to now TAG MY OWN bags at the airport I was hoping they would actually arrive WITH me - here's hoping they arrive,,2015-02-20 22:41:38 -0800,,Eastern Time (US & Canada),1,0
569968010431066112,0,1.0,Customer Service Issue,0.3455,5,,ashritt,,0,@AmericanAir work on the comm skills w hate agents at PHX. Said I was confirmed on flight out of DFW &amp; got here and that was only standby.,,2015-02-23 13:12:17 -0800,"Iowa City, IA",Eastern Time (US & Canada),1,0
569858278370516992,0,1.0,Customer Service Issue,0.6509,5,,Jhosa_M,,0,@AmericanAir But when becomes about get money from the passengers are very strict but don't have ANY feedback as a reward,,2015-02-23 05:56:15 -0800,Ando por el mundo,Caracas,1,0
569444898660691968,0,1.0,Late Flight,0.3488,1,,throthra,,0,"@united thanks for letting me sleep at DIA to ensure you ruin as much of my vacation as possible. Wait, no, fuck you. #unitedairlinessucks",,2015-02-22 02:33:38 -0800,,,1,0
569905773276307457,0,1.0,Lost Luggage,0.6735,4,,acnewsguy,,0,@USAirways Another dead end.  They only handle AA L&amp;F.  They gave me the same failed # I already had. 610-362-7498(99) VM full.  #lost,,2015-02-23 09:04:59 -0800,"New Haven, CT",Mountain Time (US & Canada),1,0
569929243146088448,0,1.0,Can't Tell,1.0,0,,GunsNDip,,0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,,2015-02-23 10:38:14 -0800,,Pacific Time (US & Canada),1,0
570280776849346561,0,1.0,Customer Service Issue,0.6629999999999999,3,,YvonneTrimble,,0,@JetBlue luggage fees? won't b flying JB again! at least #AA gives platinum pass 2 bags! tired of overchging bg herded like cattle2slaughter,,2015-02-24 09:55:07 -0800,"Port au Prince, Haiti",Eastern Time (US & Canada),1,0
567730299912482816,0,0.3456,Can't Tell,0.3456,1,,meracross,,0,"@united's first-class #cockup
http://t.co/oh7CFv7DHR",,2015-02-17 09:00:26 -0800,Toronto,Pacific Time (US & Canada),1,0
569955386914181121,0,1.0,Flight Attendant Complaints,1.0,1,,godvertiser,,0,@united flight attendant doesn’t understand not understanding English doesn’t mean they are deaf. Stop yelling English slowly to them.,,2015-02-23 12:22:08 -0800,"New Jersey, USA",Eastern Time (US & Canada),1,0
569856492477657088,0,1.0,Flight Booking Problems,0.6966,1,,xtin_t,,0,@United how is it that I book a flight with a reserved seat and then go to check in and find out I have no seat?  WTF.,,2015-02-23 05:49:09 -0800,"Salt Lake City, Utah",Mountain Time (US & Canada),1,0
568965585620459520,0,1.0,Flight Attendant Complaints,0.3407,1,,Csqd,,1,@united Then why did your staff refuse to let ME on the earlier flight citing my having checked a bag?!?!,"[40.71518191, -73.99595593]",2015-02-20 18:49:01 -0800,"Vail, CO",Mountain Time (US & Canada),1,0
568778028773347329,0,1.0,Customer Service Issue,0.6923,1,,jefftang1975,,0,@united I need assistance with pulling your agents' heads out of their asses,,2015-02-20 06:23:44 -0800,,Pacific Time (US & Canada),1,0
569589028590391298,0,0.6842,Late Flight,0.6842,4,,ericabevill,,0,@USAirways i will be on this plane while on the ground longer than i will be in the air. US5235,,2015-02-22 12:06:21 -0800,"Chicago, IL",Central Time (US & Canada),1,0
569927442657386496,0,1.0,Customer Service Issue,1.0,5,,ezemanalyst,,0,"@AmericanAir seriously, you treat your passengers like shit.",,2015-02-23 10:31:05 -0800,,,1,0
568211263303639040,0,1.0,Flight Attendant Complaints,0.3489,4,,DAngel082,,0,@USAirways so far I've gotten six different answers,,2015-02-18 16:51:36 -0800,New York,,1,0
569657504273027073,0,1.0,Customer Service Issue,0.3413,5,,poolinenaidoo,,0,@AmericanAir Flight  AA1691 LAX to LAS closes too early and gate agents give us hassles #PatheticCX,,2015-02-22 16:38:27 -0800,"Kitchen, office or on the road",Central Time (US & Canada),1,0
570106717490393088,0,0.6632,Lost Luggage,0.6632,1,,mortgagesbycoop,,0,@united okay ase24766m. Find our luggage.,,2015-02-23 22:23:28 -0800,New Jersey,,1,0
570244388175130625,0,1.0,Customer Service Issue,1.0,5,,mwecker,,0,"@AmericanAir the communications seems to be an issue too, no?",,2015-02-24 07:30:31 -0800,"Washington, DC",Eastern Time (US & Canada),1,0
569140362025050112,0,1.0,Customer Service Issue,0.6513,1,,AviNewYork,,1,@united his cell phone record needs to be checked to see who did conversed with. I trust the FAA can handle this better.,"[18.47240961, -68.39941149]",2015-02-21 06:23:31 -0800,,Eastern Time (US & Canada),1,0
569944807830736896,0,1.0,Cancelled Flight,0.6584,5,,ImprotaD,,0,@AmericanAir I have the app - after my nonsense flight Cancelled Flightation yesterday I wasn't able to use the app or kiosk today. Hour long line.,,2015-02-23 11:40:05 -0800,,,1,0
